ID,구분,기존 문구,수정안,검토 상태
SC060,본문,뷰티블라썸은 해부학적 구조를 정확히 파악한 숙련된 의료진이 직접 시술을 담당합니다.,뷰티블라썸의원은 의료진이 얼굴의 해부학적 구조와 피부 상태를 살펴보고 스컬트라 시술을 진행합니다.,문구 수정안 · 원내 검토 전
SC061,본문,"고객 개개인의 피부 두께, 탄력도, 근육 분포를 면밀히 분석하여 최적의 주입 용량과 시술 부위를 과학적으로 설계합니다.","피부 두께와 탄력, 볼륨이 감소한 부위를 확인한 뒤 주입 부위와 용량을 개별적으로 계획합니다.",문구 수정안 · 원내 검토 전
SC062,본문,"단순한 즉각적 효과가 아닌, 시간이 지나도 자연스럽게 유지되는 지속적인 아름다움을 위한 차별화된 시술 프로토콜을 제공합니다.","상담부터 시술 후 관리까지, 원하는 변화와 실제 경과를 함께 확인합니다.",문구 수정안 · 원내 검토 전
SC063,본문,"뷰티블라썸 스컬트라
이런 분들께 추천드립니다!","이런 고민이 있다면
스컬트라를 상담해 보세요",문구 수정안 · 원내 검토 전
SC064,본문,"볼 꺼짐, 탄력 저하로 인한 노화가 고민인 분","볼 꺼짐, 탄력 저하로 인한 노화가 고민인 분",기존 문구 유지
SC065,본문,필러보다 자연스러운 효과를 원하는 분,점진적인 볼륨 변화를 원하는 분,문구 수정안 · 원내 검토 전
SC066,본문,잔주름 개선과 피부 전반적인 볼륨 업을 원하는 분,잔주름과 피부 탄력 저하가 함께 고민인 분,문구 수정안 · 원내 검토 전
SC067,본문,"관자놀이, 앞볼, 팔자주름이 고민인 분","관자놀이, 앞볼, 팔자주름이 고민인 분",기존 문구 유지
SC068,본문,"턱라인, 입가 볼륨 개선이 필요한 분","턱라인, 입가 볼륨 개선이 필요한 분",기존 문구 유지
SC069,본문,"목, 힙 등 바디 부위 시술을 원하는 분",목·힙 등 바디 부위의 적용 가능 여부를 상담하고 싶은 분,문구 수정안 · 원내 검토 전
SC070,본문,스컬트라 시술 정보,"스컬트라 시술 후, 어떻게 관리하나요?",문구 수정안 · 원내 검토 전
SC071,본문,필수 관리 - 5-5-5,"마사지 관리, 5-5-5",문구 수정안 · 원내 검토 전
SC072,본문,"시술 후 5일 동안, 하루 5회, 5분간 마사지 필요","시술 후 5일 동안, 하루 5회, 한 번에 5분씩 마사지해 주세요.",문구 수정안 · 원내 검토 전
SC073,본문,시술 간격 및 유지 기간,시술 횟수와 간격은 개별적으로 계획합니다,문구 수정안 · 원내 검토 전
SC074,본문,3-4주 간격으로 2-3회 시술 권장,"시술은 보통 여러 차례에 걸쳐 계획하며, 필요한 횟수와 간격은 피부 상태와 반응에 따라 결정합니다.",문구 수정안 · 원내 검토 전
SC075,본문,개인의 피부 상태에 따라 조정 가능,다음 시술 일정은 의료진과 경과를 확인한 뒤 정합니다.,문구 수정안 · 원내 검토 전
SC076,본문,콜라겐 생성으로 1-2년 이상 지속,연구에서 관찰된 최대 24개월의 유지 기간이 모든 사람에게 동일하게 적용되지는 않습니다.,문구 수정안 · 원내 검토 전
SC077,본문,자연스러운 노화 과정에 따라 개인차 있음,"피부 상태, 시술 계획과 자연스러운 노화 과정에 따라 유지 기간이 달라집니다.",문구 수정안 · 원내 검토 전
SC078,본문,시술 후 주의사항,시술 후 주의사항,기존 문구 유지
SC079,본문,"멍, 부기, 불편감이 자연스럽게 사라짐",멍·부기·통증 등이 생길 수 있습니다. 증상이 지속되거나 심해지면 의료진에게 알려주세요.,문구 수정안 · 원내 검토 전
SC080,본문,충분한 수분 섭취 권장,충분한 수분 섭취 권장,기존 문구 유지
SC081,본문,"시술 후 며칠간 음주, 사우나, 강한 운동 피하기",음주·사우나·강한 운동은 의료진이 안내한 기간 동안 피해주세요.,문구 수정안 · 원내 검토 전
SC082,본문,스컬트라 자주 묻는 질문,스컬트라 자주 묻는 질문,기존 문구 유지
SC083,본문,Q1. 스컬트라는 몇 번 시술해야 하나요?,"스컬트라는 몇 번, 어느 간격으로 시술하나요?",문구 수정안 · 원내 검토 전
SC084,본문,"개인별 피부 상태에 따라 다르지만, 일반적으로 3~4주 간격으로 2~3회 시술 을 권장합니다. 점진적으로 콜라겐이 생성되며 1~2년 이상 효과가 지속 됩니다.","스컬트라의 시술 횟수와 간격은 피부 상태와 원하는 변화에 따라 달라집니다. 제조사 안내에서는 수개월에 걸친 2~3회 시술을 예로 들며, 본인의 일정은 의료진과 경과를 확인해 결정합니다.",문구 수정안 · 원내 검토 전
SC085,본문,Q2. 시술 후 바로 일상생활이 가능한가요?,스컬트라 시술 후 바로 일상생활이 가능한가요?,문구 수정안 · 원내 검토 전
SC086,본문,"네, 대부분 바로 일상생활이 가능합니다. 다만, 시술 부위에 멍이나 붓기가 일시적으로 발생할 수 있으며, 시술 후 5일간 하루 5회 5분씩 마사지 를 해주셔야 합니다.","대부분 일상생활로 복귀할 수 있지만, 시술 부위에 멍이나 부기가 생길 수 있습니다. 회복 속도에 맞춰 일정을 조절하고, 마사지 등 시술 후 관리 안내를 따라주세요.",문구 수정안 · 원내 검토 전
SC087,본문,Q3. 스컬트라는 필러와 어떤 점이 다른가요?,스컬트라와 히알루론산 필러는 무엇이 다른가요?,문구 수정안 · 원내 검토 전
SC088,본문,"필러는 즉각적인 볼륨을 채우는 반면, 스컬트라는 피부 속 콜라겐 생성을 유도 하여 시간이 지날수록 자연스럽고 탄탄한 볼륨을 완성합니다.","스컬트라는 PLLA 성분으로 콜라겐 생성을 유도해 점진적인 변화를 돕고, 히알루론산(HA) 필러는 주입 부위의 볼륨을 비교적 즉각적으로 보완합니다. 필요한 부위와 원하는 변화의 속도를 고려해 상담합니다.",문구 수정안 · 원내 검토 전
SC089,본문,Q4. 어떤 부위에 시술이 가능한가요?,스컬트라는 어떤 부위에 시술하나요?,문구 수정안 · 원내 검토 전
SC090,본문,"광대, 관자놀이, 팔자주름, 턱선, 입가 등의 얼굴 꺼진 부위에 시술이 가능하며, 목, 힙 등 바디에도 적용할 수 있습니다.","얼굴의 볼륨 감소와 볼·팔자주름 등의 고민을 중심으로 상담합니다. 실제 시술 부위는 피부와 조직 상태를 확인해 정하며, 목·힙 등 바디 부위의 적용 여부는 별도 상담이 필요합니다.",문구 수정안 · 원내 검토 전
SC091,본문,Q5. 스컬트라 시술이 효과적인 대상은 누구인가요?,어떤 고민이 있을 때 스컬트라를 상담하면 좋나요?,문구 수정안 · 원내 검토 전
SC092,본문,"볼 꺼짐이나 피부 탄력 저하 로 인해 노화가 고민인 분, 필러보다 자연스럽고 장기적인 개선을 원하는 분에게 적합합니다.","볼 꺼짐이나 피부 탄력 저하가 고민이고, 점진적인 변화를 원하는 경우 상담할 수 있습니다. 피부 상태와 시술 이력을 확인한 뒤 적합 여부를 판단합니다.",문구 수정안 · 원내 검토 전
SC093,본문,Q6. 부작용은 없나요?,스컬트라 시술 후 생길 수 있는 부작용은 무엇인가요?,문구 수정안 · 원내 검토 전
SC094,본문,"일시적인 멍, 붓기, 결절 등이 생길 수 있으나 대부분 자연스럽게 호전됩니다. 의료진의 숙련도에 따라 발생률이 달라지므로 경험 있는 병원에서 시술받는 것이 중요합니다.","멍, 부기, 붉어짐, 통증뿐 아니라 결절이나 염증 반응 등이 생길 수 있습니다. 만져지는 덩어리나 불편감이 지속되거나 심해지면 의료진에게 알려주세요. 시술 전에는 알레르기와 이전 시술 이력도 확인합니다.",문구 수정안 · 원내 검토 전
SC095,본문,Q. 홍대 스컬트라 시술은 어떤 시술인가요?,스컬트라는 어떤 성분의 시술인가요?,문구 수정안 · 원내 검토 전
SC096,본문,"A. 스컬트라(Sculptra)는 PLLA(폴리엘락틱애씨드) 성분으로 콜라겐 생성을 촉진 하는 시술입니다. 피부 볼륨 회복, 탄력 개선, 주름 완화 에 효과적이며, 홍대 뷰티블라썸의원에서 정품으로 시술합니다. 홍대 스컬트라, 콜라겐주사, PLLA, 볼륨회복 관련 시술은 뷰티블라썸의원에서 상담받으실 수 있습니다.","스컬트라는 PLLA(폴리-L-젖산)를 주성분으로 하는 콜라겐 생성 촉진 주사 시술입니다. 홍대·합정 뷰티블라썸의원에서 볼륨 감소와 주름, 탄력 고민에 맞는 시술 계획을 상담할 수 있습니다.",문구 수정안 · 원내 검토 전
SC097,본문,Q. 스컬트라 시술 시간과 유지기간은요?,스컬트라 시술 시간과 효과 유지 기간은 어떻게 되나요?,문구 수정안 · 원내 검토 전
SC098,본문,"A. 시술 시간은 약 20~30분 이며, 효과는 약 18~24개월 로 오래 유지됩니다. 4~6주 간격으로 2~3회 반복 시술을 권장합니다. 개인차가 있습니다.","본원 안내 기준 시술 시간은 약 20~30분이며, 부위와 시술 범위에 따라 달라질 수 있습니다. 임상연구에서 개선 효과는 최대 24개월까지 관찰되었지만, 실제 유지 기간에는 개인차가 있습니다.",문구 수정안 · 원내 검토 전
SC099,본문,Q. 스컬트라 효과는 언제부터 나타나나요?,스컬트라 효과는 언제부터 나타나나요?,문구 수정안 · 원내 검토 전
SC100,본문,A. 스컬트라는 즉각적인 효과보다 서서히 콜라겐이 생성되면서 1~3개월에 걸쳐 자연스럽게 효과 가 나타납니다. 자연스러운 볼륨감 을 원하시는 분께 적합합니다.,"스컬트라는 콜라겐이 형성되면서 수주에서 수개월에 걸쳐 점진적인 변화가 나타납니다. 시술 직후의 부기를 최종 결과로 판단하지 않고, 피부 상태와 반응에 따라 경과를 확인합니다.",문구 수정안 · 원내 검토 전
SC101,본문,Q. 스컬트라 시술 후 주의사항은 무엇인가요?,스컬트라 시술 후 마사지는 어떻게 하나요?,문구 수정안 · 원내 검토 전
SC102,본문,"A. 시술 후 5일간 하루 5회, 5분씩 시술 부위를 마사지해 주세요(5-5-5 법칙). 음주, 사우나는 1주일간 피해 주시고, 자외선 차단에 신경 써 주세요. 홍대 뷰티블라썸의원에서 자세한 상담을 받아보세요.","의료진이 안내한 방법에 따라 5일 동안 하루 5회, 한 번에 5분씩 시술 부위를 마사지합니다. 음주·사우나·강한 운동의 제한 기간 등 나머지 관리 방법은 본인의 시술 후 안내를 따라주세요.",문구 수정안 · 원내 검토 전
SC103,본문,Q. 뷰티블라썸의원은 홍대 어디에 있나요?,"뷰티블라썸의원은 어디에 있고, 접수는 몇 층인가요?",문구 수정안 · 원내 검토 전
SC104,본문,"A. 뷰티블라썸의원은 홍대입구역 9번출구 도보 10분, 합정역 3번출구 도보 1분 거리에 위치해 있습니다. (서울시 마포구 양화로 66, 메디원메디컬센터 6층·8층)","뷰티블라썸의원은 서울시 마포구 양화로 66, 메디원메디컬센터 6층·8층에 있습니다. 합정역 3번 출구 바로 앞이며, 처음 방문하시면 6층에서 접수해 주세요.",문구 수정안 · 원내 검토 전
SC105,본문,스컬트라 상담 예약하기,스컬트라 상담 예약하기,기존 문구 유지
SC106,본문,"서울시 마포구 양화로66, 메디원메디컬센터 6층,8층","서울시 마포구 양화로66, 메디원메디컬센터 6층,8층",기존 문구 유지
SC107,본문,뷰티블라썸의원 (합정역 3번 출구 바로 앞),뷰티블라썸의원 (합정역 3번 출구 바로 앞),기존 문구 유지
SC108,본문,접수 6층,접수 6층,기존 문구 유지
SC109,본문,*모든 요일 점심시간 없이 진료합니다.,*모든 요일 점심시간 없이 진료합니다.,기존 문구 유지
SC110,본문,*공휴일은 원내로 별도 확인 부탁드립니다.,*공휴일은 원내로 별도 확인 부탁드립니다.,기존 문구 유지
META01,검색 제목,스컬트라 | 뷰티블라썸 디자인 목업,홍대·합정 스컬트라 | 효과·유지 기간·시술 후 관리 | 뷰티블라썸의원,추가·수정안 / 원내 검토 전
META02,검색 설명,,"홍대·합정 뷰티블라썸의원 스컬트라 안내. PLLA 성분과 콜라겐 생성, 볼륨·탄력 변화, 히알루론산 필러와의 차이, 유지 기간과 마사지 관리를 확인하세요. 양화로 66, 6층·8층, 접수 6층.",추가·수정안 / 원내 검토 전
UI001,#brand-film .brand-film-heading h2,,"자연스러운 변화의 시작, 스컬트라",추가·수정안 / 원내 검토 전
UI002,#brand-film .brand-film-cover span,,SCULPTRA®,추가·수정안 / 원내 검토 전
UI003,#brand-film .brand-film-cover p,,"COLLAGEN, FROM WITHIN",추가·수정안 / 원내 검토 전
UI004,#overview .overview-evidence,,효과 유지 기간은 연구에서 관찰된 수치이며 개인차가 있습니다. 시술 시간·마취·회복 일정은 상담 시 확인합니다.,추가·수정안 / 원내 검토 전
UI005,.research-source,,"연구 수치 인용: Galderma AMWC 2024 자료 . Type I 콜라겐 지표이며, 얼굴 전체 볼륨의 증가율을 뜻하지 않습니다.",추가·수정안 / 원내 검토 전
UI006,.research-source,,"기존 페이지에 인용된 연구 이미지입니다. 연구 대상·시술 조건에 따른 결과로, 개인별 시술 결과와 다를 수 있습니다.",추가·수정안 / 원내 검토 전
UI007,.research-source,,"출처: Valantin et al., AIDS, 2003 · VEGA 연구 . TCT는 해당 연구에서 사용한 측정 지표입니다.",추가·수정안 / 원내 검토 전
UI008,.research-source,,"기존 페이지에 인용된 조직 이미지 설명입니다. 특정 관찰 시점의 자료이며, 개인의 효과 유지 기간을 뜻하지 않습니다.",추가·수정안 / 원내 검토 전
UI009,.research-source,,"기존 페이지에 인용된 연구 이미지입니다. 연구 대상·시술 조건에 따른 결과로, 개인별 시술 결과와 다를 수 있습니다.",추가·수정안 / 원내 검토 전
UI010,.medical-references p:not(.eyebrow),,"성분·시술 과정과 관리 안내는 제조사 공식 FAQ , 미국 FDA 제품 안내 를 참고했습니다. 해외 승인 범위는 국내 적용 범위와 다를 수 있으며, 본인의 시술 가능 여부와 관리 방법은 의료진과 확인합니다.",추가·수정안 / 원내 검토 전
UI011,.comparison-table thead th:last-child,FILLER 필러,HA FILLER 히알루론산 필러,추가·수정안 / 원내 검토 전
